"siteID","monthyear","sitemonthyear","plotID","latitude","longitude","easting","northing"
"TALL","2016-05","TALL2016-05","TALL_005","32.897137","-87.397336","462839.4","3639953.572"
"TALL","2016-05","TALL2016-05","TALL_025","32.899566","-87.396378","462929.959","3640222.598"
"TALL","2016-05","TALL2016-05","TALL_031","32.899318","-87.389034","463616.688","3640192.479"
"TALL","2016-05","TALL2016-05","TALL_027","32.891309","-87.431342","459656.319","3639320.037"
"TALL","2016-05","TALL2016-05","TALL_016","32.970408","-87.415018","461217.644","3648082.851"
"TALL","2016-05","TALL2016-05","TALL_029","32.901599","-87.432036","459596.09","3640461.009"
"TALL","2016-05","TALL2016-05","TALL_032","32.910318","-87.420834","460647.574","3641423.391"
"TALL","2016-05","TALL2016-05","TALL_013","32.884748","-87.454392","457497.322","3638601.758"
"TALL","2016-05","TALL2016-05","TALL_021","32.950118","-87.407534","461908.337","3645830.764"
"TALL","2016-05","TALL2016-05","TALL_017","32.91006","-87.40866","461785.879","3641390.264"
"TALL","2016-05","TALL2016-05","TALL_030","32.954489","-87.403417","462295.036","3646313.792"
"TALL","2016-05","TALL2016-05","TALL_007","32.974426","-87.42694","460105.357","3648532.707"
"TALL","2016-05","TALL2016-05","TALL_020","32.955991","-87.42683","460107.345","3646488.98"
"TALL","2016-05","TALL2016-05","TALL_044","32.952869","-87.397606","462837.441","3646132.118"
"TALL","2016-05","TALL2016-05","TALL_001","32.977665","-87.432705","459568.133","3648893.935"
"UNDE","2016-08","UNDE2016-08","UNDE_016","46.24597","-89.525485","305316.861","5124477.201"
"UNDE","2016-08","UNDE2016-08","UNDE_043","46.234247","-89.542459","303966.647","5123216.502"
"UNDE","2016-08","UNDE2016-08","UNDE_015","46.231237","-89.506506","306728.11","5122793.872"
"UNDE","2016-08","UNDE2016-08","UNDE_038","46.232249","-89.534573","304567.523","5122975.093"
"UNDE","2016-08","UNDE2016-08","UNDE_037","46.231276","-89.541941","303995.992","5122885.118"
"UNDE","2016-08","UNDE2016-08","UNDE_014","46.22596","-89.513299","306185.772","5122224.11"
"UNDE","2016-08","UNDE2016-08","UNDE_044","46.231744","-89.53264","304714.814","5122914.235"
"UNDE","2016-08","UNDE2016-08","UNDE_023","46.230008","-89.501807","307086.124","5122645.862"
"UNDE","2019-06","UNDE2019-06","UNDE_027","46.210824","-89.49004","307926.545","5120485.852"
"UNDE","2019-06","UNDE2019-06","UNDE_035","46.218532","-89.50791","306575.232","5121385.639"
"UNDE","2019-06","UNDE2019-06","UNDE_020","46.207506","-89.481736","308555.512","5120097.089"
