"siteID","monthyear","sitemonthyear","plotID","easting","northing","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgaps.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop"
"TALL","2016-05","TALL2016-05","TALL_018","463555.492","3642082.971","21.4435215157354","27.389","3.12007529701904","124","0.0737656157049375","0.926234384295062","5.15829339794281","12.5662517182051","5.1446342535421","0.753345790098388","0.896311192011595","10.3337726025065",NA
"TALL","2016-05","TALL2016-05","TALL_064","460256.933","3646911.443","24.5425584170854","36.849","3.2390952738971","89","0.0529446757882213","0.947055324211779","5.91980615714159","10.0858251710221","3.02509606943","0.74775012727891","0.896535180283441","9.04485811530445","0.515913205101133"
"TALL","2016-05","TALL2016-05","TALL_003","461154.634","3639560.634","3.77380555555556","29.847","1.89272453769279","97","0.057703747769185","0.942296252230815","7.89994017849645","10.1431505358774","5.21253643545913","0.702028888960857","0.873630924938024","18.9411092690748","0"
"TALL","2016-05","TALL2016-05","TALL_005","462839.4","3639953.572","14.4520252365931","34.625","4.57688887168349","96","0.0571088637715645","0.942891136228435","11.7782697960912","10.8124418675453","3.60909356353626","0.733484192051837","0.881191079393829","12.5265482046141",NA
"TALL","2016-05","TALL2016-05","TALL_025","462929.959","3640222.598","20.0607877269881","43.768","4.23723360775125","84","0.049970255800119","0.950029744199881","8.84176321272655","10.1152315190694","4.40770439633193","0.726664259493452","0.865192407456712","24.798676527372",NA
"TALL","2016-05","TALL2016-05","TALL_031","463616.688","3640192.479","20.6284051282051","29.939","3.30651466132333","121","0.0719809637120761","0.928019036287924","7.25937335703684","11.3883655459252","5.56894611635986","0.726458781145743","0.893598757107992","10.2479594193463",NA
"TALL","2016-05","TALL2016-05","TALL_027","459656.319","3639320.037","28.3149505012531","37.593","2.41568689463657","85","0.0505651397977394","0.949434860202261","3.59805008974751","9.89364817267616","4.10224494183468","0.730697923391252","0.896817166139829","10.1892213548983","0.416000576002372"
"TALL","2016-05","TALL2016-05","TALL_016","461217.644","3648082.851","16.6455784810127","29.282","4.37731290491935","101","0.0600832837596669","0.939916716240333","8.73885826599086","13.0707656911022","5.08073361923313","0.782663094527468","0.903742010002946","13.5302144887648","0.49804420386674"
"TALL","2016-05","TALL2016-05","TALL_029","459596.09","3640461.009","0.573627586206897","18.82","1.28158755938359","86","0.0511600237953599","0.94883997620464","2.37127823938346","8.31724418024837","4.85973098153899","0.696266449464604","0.872489278188083","11.8467125634531",NA
"TALL","2016-05","TALL2016-05","TALL_032","460647.574","3641423.391","21.9152694006309","34.64","2.92036816227526","96","0.0571088637715645","0.942891136228435","6.28689851953473","9.31290558548483","3.1228318860287","0.700506389594106","0.862489217032533","10.578233926768",NA
"TALL","2016-05","TALL2016-05","TALL_013","457497.322","3638601.758","17.8667749216301","50.469","4.00480740324859","86","0.0511600237953599","0.94883997620464","8.19422903179235","10.5491212694282","4.51354088425403","0.734389867160909","0.875019165248853","14.0329928439948",NA
