Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
494,Martinez-Sanchez (2003),46,Mexico,East Coast,,Estacion de Biologia Los Tuxtlas,18.6,-95.1,A,Lowland evergreen tropical rain-forest,Orthion oblanceolatum,Violaceae,Tree (evergreen),Recently fallen leaves,25.1,4500,110,,,3.18,2.26,,,,,,,,,,,,,,,,
495,Martinez-Sanchez (2003),46,Mexico,East Coast,,Estacion de Biologia Los Tuxtlas,18.6,-95.1,A,Lowland evergreen tropical rain-forest,Rheedia edulis,Clusiaceae,Tree (evergreen),Recently fallen leaves,25.1,4500,110,,,1.08,0.79,0.07,0.05,,,,,,,,,,,,,,
575,Mayor & Roda (1992),47,Spain,Torrent de la Mina,,Montseny mountains,41.8,2.4,C,,Quercus ilex,Fagaceae,Tree (evergreen),Litterfall,9.5,870,900,,,1.3,0.94,0.09,0.06,0.52,0.33,,,0.19,0.11,,,,,,,,
35,Mazzarino et al. (1998),48,Argentina,Patagonia,,Spring,-39.6,-71.4,C,,Atriplex lampa,Chenopodiaceae,Tree (evergreen),Picked from the plant,5.4,700,100,,,1.5,1,0.09,0.07,0.2,0.22,2.19,2.4,,,,,,,,,,
36,Mazzarino et al. (1998),48,Argentina,Patagonia,,Summer,-39.6,-71.4,C,,Atriplex lampa,Chenopodiaceae,Tree (evergreen),Picked from the plant,5.4,700,100,,,1.2,0.8,0.08,0.06,0.39,0.52,1.38,2.09,,,,,,,,,,
37,Mazzarino et al. (1998),48,Argentina,Patagonia,,Spring,-39.6,-71.4,C,,Prosopis alpataco,N-fixer Fabaceae ,Tree (deciduous),Picked from the plant,5.4,700,100,,,2.1,1.5,0.15,0.1,0.39,0.43,1.06,2.99,,,,,,,,,,
38,Mazzarino et al. (1998),48,Argentina,Patagonia,,Summer,-39.6,-71.4,C,,Prosopis alpataco,N-fixer Fabaceae ,Tree (deciduous),Picked from the plant,5.4,700,100,,,2.9,2.4,,,0.78,0.35,1.7,2.34,,,,,,,,,,
39,Mazzarino et al. (1998),48,Argentina,Patagonia,,Spring,-39.6,-71.4,C,,Bromus setifolius,Poaceae,Graminoid,Picked from the plant,5.4,700,100,44.3,42.7,2,0.5,0.33,0.09,2.35,0.63,0.82,0.44,,,,,,,,,,
40,Mazzarino et al. (1998),48,Argentina,Patagonia,,Spring,-39.6,-71.4,C,,Festuca pallescens,Poaceae,Graminoid,Picked from the plant,5.4,700,100,46.6,47.7,1,0.3,0.19,0.09,1.8,0.34,0.29,0.24,,,,,,,,,,
41,Mazzarino et al. (1998),48,Argentina,Patagonia,,Spring,-39.6,-71.4,C,,Hordeum comosum,Poaceae,Graminoid,Picked from the plant,5.4,700,100,43.9,43.1,2.5,0.4,0.25,0.09,2.57,0.47,0.54,0.26,,,,,,,,,,
42,Mazzarino et al. (1998),48,Argentina,Patagonia,,Spring,-39.6,-71.4,C,,Poa ligularis,Poaceae,Graminoid,Picked from the plant,5.4,700,100,47,45.4,1.1,0.2,0.23,0.05,,,0.25,0.23,,,,,,,,,,
703,Minoletti & Boerner (1993),49,USA,OH,Hocking County,Neotoma Valley,39.6,-82.6,D,Mixed mesophytic forest,Polystichum acrostichoides,Dryopteridaceae,Ferns,Litterfall,11,1000,200,,,1.49,0.57,0.18,0.08,,,,,,,,,,,,,,
704,Minoletti & Boerner (1993),49,USA,OH,Hocking County,Neotoma Valley,39.6,-82.6,D,Mixed oak forest,Polystichum acrostichoides,Dryopteridaceae,Ferns,Litterfall,11,1000,200,,,1.58,0.65,0.13,0.06,,,,,,,,,,,,,,
705,Minoletti & Boerner (1993),49,USA,OH,Delaware County,Bohannan Woods,40.4,-82.9,D,Beech-maple forest,Polystichum acrostichoides,Dryopteridaceae,Ferns,Litterfall,11,1000,200,,,1.83,1.06,0.13,0.07,,,,,,,,,,,,,,
471,Nakanishi et al. (2009),50,Japan,Kyoto Prefecture,Kyoto University,Kamigamo Experimental Station,35.1,135.8,C,,Chamaecyparis obtusa,Cupressaceae,Conifers,,14.6,1582,136,,,0.99,0.66,,,,,,,,,,,,,,,,
472,Nakanishi et al. (2009),50,Japan,Kyoto Prefecture,Kyoto University,Kamigamo Experimental Station,35.1,135.8,C,,Chamaecyparis obtusa,Cupressaceae,Conifers,,14.6,1582,175,,,0.86,0.47,,,,,,,,,,,,,,,,
473,Nakanishi et al. (2009),50,Japan,Kyoto Prefecture,Kyoto University,Kamigamo Experimental Station,35.1,135.8,C,,Chamaecyparis obtusa,Cupressaceae,Conifers,,14.6,1582,200,,,0.97,0.55,,,,,,,,,,,,,,,,
75,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Kielmeyera coriacea,Clusiaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.05,0.45,0.06,0.02,,,,,,,,,,,,,,
76,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Caryocar brasiliense,Caryocaraceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.3,0.87,0.07,0.03,,,,,,,,,,,,,,
77,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Qualea grandiflora,Vochysiaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.12,1.07,0.06,0.05,,,,,,,,,,,,,,
78,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Dalbergia miscolobium,N-fixer Fabaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.8,1.51,0.06,0.03,,,,,,,,,,,,,,
79,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Stryphnodendron adstringens,N-fixer Fabaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.73,0.9,0.06,0.02,,,,,,,,,,,,,,
80,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Roupala montana,Proteaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,0.92,0.63,0.05,0.02,,,,,,,,,,,,,,
81,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Vochysia elliptica,Vochysiaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,0.73,0.56,0.04,0.03,,,,,,,,,,,,,,
82,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Ouratea hexasperma,Ochnaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.24,0.86,0.07,0.03,,,,,,,,,,,,,,
83,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Sclerolobium paniculatum,N-fixer Fabaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.34,0.95,0.06,0.02,,,,,,,,,,,,,,
84,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Styrax ferrugineus,Styracaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.2,0.83,0.06,0.04,,,,,,,,,,,,,,
85,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Kielmeyera coriacea,Clusiaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,0.81,0.61,0.05,0.03,,,,,,,,,,,,,,
86,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Caryocar brasiliense,Caryocaraceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.12,0.7,0.07,0.03,,,,,,,,,,,,,,
87,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Qualea grandiflora,Vochysiaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.11,0.78,0.07,0.04,,,,,,,,,,,,,,
88,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Dalbergia miscolobium,N-fixer Fabaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.78,1.16,0.06,0.02,,,,,,,,,,,,,,
89,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Stryphnodendron adstringens,N-fixer Fabaceae,Tree (deciduous),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.35,0.9,0.06,0.02,,,,,,,,,,,,,,
90,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Roupala montana,Proteaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,0.72,0.52,0.04,0.02,,,,,,,,,,,,,,
91,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Vochysia elliptica,Vochysiaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,0.8,0.56,0.05,0.02,,,,,,,,,,,,,,
92,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Ouratea hexasperma,Ochnaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.05,0.78,0.07,0.02,,,,,,,,,,,,,,
93,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Sclerolobium paniculatum,N-fixer Fabaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.05,0.78,0.05,0.02,,,,,,,,,,,,,,
94,Nardoto et al. (2006),51,Brazil,DF,Brasilia,Ecological Reserve of IBGE,-15.9,-47.9,A,Cerrado (savanna),Styrax ferrugineus,Styracaceae,Tree (evergreen),Litterfall traps cleared every 2 weeks,22,1400,1100,,,1.1,0.86,0.06,0.04,,,,,,,,,,,,,,
576,Nasholm (1994),52,Sweden,Umea,,,64.3,19.8,D,,Pinus sylvestris,Pinaceae,Conifers,,3,600,260,,,0.98,0.54,,,,,,,,,,,,,25.2,22.4,11.1,
918,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Acer oblongum,Sapindaceae,Tree (evergreen),,12,2000,1950,,,2.55,1.66,,,,,,,,,,,,,,,38.6,
919,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Ilex dipyrena,Aquifoliaceae,Tree (evergreen),,12,2000,2000,,,1.84,1.55,,,,,,,,,,,,,,,29.3,
920,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Litsea umbrosa,Lauraceae,Tree (evergreen),,12,2000,2200,,,3.16,1.99,,,,,,,,,,,,,,,31.2,
921,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Machilus duthiei,Lauraceae,Tree (evergreen),,12,2000,2000,,,2.72,1.95,,,,,,,,,,,,,,,20.7,
922,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Myrica esculenta,N-fixer Myricaceae,Tree (evergreen),,15,2000,1350,,,2.79,1.94,,,,,,,,,,,,,,,20.6,
923,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Pinus roxburghii,Pinaceae,Conifers,,15,2000,1350,,,1.62,1.02,,,,,,,,,,,,,,,28.2,
924,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Quercus floribunda,Fagaceae,Tree (evergreen),,12,2000,2000,,,2.79,1.79,,,,,,,,,,,,,,,23.5,
925,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Quercus lanuginosa,Fagaceae,Tree (evergreen),,12,2000,2200,,,2.7,1.83,,,,,,,,,,,,,,,20.5,
926,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Quercus leucotrichophora,Fagaceae,Tree (evergreen),,12,2000,1950,,,2.9,1.56,,,,,,,,,,,,,,,20.9,
927,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Rhododendron arboreum,Ericaceae,Tree (evergreen),,12,2000,2200,,,1.41,0.98,,,,,,,,,,,,,,,33.2,
928,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Shorea robusta,Dipterocarpaceae,Tree (evergreen),,23,2000,600,,,2.61,1.19,,,,,,,,,,,,,,,21,
929,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Aesculus indica,Sapindaceae,Tree (deciduous),,12,2000,1950,,,2.68,1.36,,,,,,,,,,,,,,,28.4,
930,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Alnus nepalensis,N-fixer Betulaceae,Tree (deciduous),,15,2000,1350,,,4.52,3.15,,,,,,,,,,,,,,,27.3,
931,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Bauhinia variegata,N-fixer Fabaceae,Tree (deciduous),,15,2000,1450,,,2.89,1.76,,,,,,,,,,,,,,,30.3,
932,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Engelhardia colebrookiana,Juglandaceae,Tree (deciduous),,15,2000,1350,,,2.82,1.58,,,,,,,,,,,,,,,40.2,
933,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Fraxinus micrantha,Oleaceae,Tree (deciduous),,12,2000,1950,,,3.25,1.3,,,,,,,,,,,,,,,38.7,
934,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Ficus palmata,Moraceae,Tree (deciduous),,15,2000,1450,,,3.78,2.38,,,,,,,,,,,,,,,26.4,
935,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Grewia optiva,Malvaceae,Tree (deciduous),,15,2000,1450,,,4.18,2.54,,,,,,,,,,,,,,,24.4,
936,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Prunus cerasoides,Rosaceae,Tree (deciduous),,15,2000,1450,,,3.07,2.5,,,,,,,,,,,,,,,34.4,
937,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Populus ciliata,Salicaceae,Tree (deciduous),,12,2000,2000,,,2.64,1.27,,,,,,,,,,,,,,,25.2,
938,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Pyrus pashia,Rosaceae,Tree (deciduous),,15,2000,1450,,,2.28,2.04,,,,,,,,,,,,,,,25.8,
939,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Populus deltoides,Salicaceae,Tree (deciduous),,12,2000,1800,,,2.86,1.65,,,,,,,,,,,,,,,21.4,
940,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Salix alba,Salicaceae,Tree (deciduous),,12,2000,1750,,,3.44,2.38,,,,,,,,,,,,,,,41,
941,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Sapium insigne,Euphorbiaceae,Tree (deciduous),,23,2000,600,,,2.91,2.36,,,,,,,,,,,,,,,30,
942,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Sapium sebiferum,Euphorbiaceae,Tree (deciduous),,15,2000,1350,,,3.34,1.68,,,,,,,,,,,,,,,32.9,
943,Negi & Singh (1993),53,India,Kumaun Himalaya,,,29.4,79.5,C,,Tectona grandis,Lamiaceae,Tree (deciduous),,23,2000,600,,,3.05,1.79,,,,,,,,,,,,,,,48.7,
47,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Northern mixed prairie,Agropyrum smithii,Poaceae,Graminoid,Picked from the plant,8.5,500,115,,,2.81,0.89,,,,,,,,,75.8,,,,,,,
48,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Southern mixed prairie,Bouteloua curtipendula,Poaceae,Graminoid,Picked from the plant,17,650,115,,,2.84,1.02,,,,,,,,,53.4,,,,,,,
49,Oyarzabal et al. (2008),54,Argentina,,,South America species,-34.6,-58.5,C,Patagonia,Bromus setifolius,Poaceae,Graminoid,Picked from the plant,6,400,115,,,3.45,1.61,,,,,,,,,59.6,,,,,,,
50,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Shortgrass steppe,Buchloe dactyloides,Poaceae,Graminoid,Picked from the plant,15,550,115,,,3.2,0.74,,,,,,,,,56.8,,,,,,,
51,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Shortgrass steppe,Hilaria jamesii ,Poaceae,Graminoid,Picked from the plant,11,300,115,,,2.21,0.58,,,,,,,,,57.3,,,,,,,
52,Oyarzabal et al. (2008),54,Argentina,,,South America species,-34.6,-58.5,C,Patagonia,Hordeum comosum,Poaceae,Graminoid,Picked from the plant,6,250,115,,,3.45,1.16,,,,,,,,,41.2,,,,,,,
53,Oyarzabal et al. (2008),54,Argentina,,,South America species,-34.6,-58.5,C,Flooding Pampa,Paspalum dilatatum,Poaceae,Graminoid,Picked from the plant,15,900,115,,,2.46,0.64,,,,,,,,,39.8,,,,,,,
54,Oyarzabal et al. (2008),54,Argentina,,,South America species,-34.6,-58.5,C,Patagonia,Poa ligularis,Poaceae,Graminoid,Picked from the plant,8,175,115,,,2.81,1.01,,,,,,,,,103.8,,,,,,,
55,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Tallgrass prairie,Schizachyrium scoparium,Poaceae,Graminoid,Picked from the plant,18,950,115,,,3.16,0.41,,,,,,,,,48.3,,,,,,,
56,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Northern mixed prairie,Stipa comata ,Poaceae,Graminoid,Picked from the plant,5,500,115,,,3.54,1.19,,,,,,,,,57.6,,,,,,,
57,Oyarzabal et al. (2008),54,Argentina,,,South America species,-34.6,-58.5,C,Patagonia,Stipa humilis,Poaceae,Graminoid,Picked from the plant,8,125,115,,,2.6,1.39,,,,,,,,,66,,,,,,,
58,Oyarzabal et al. (2008),54,Argentina,,,North America species,-34.6,-58.5,C,Northern mixed prairie,Stipa viridula,Poaceae,Graminoid,Picked from the plant,8,550,115,,,3.42,0.82,,,,,,,,,53.3,,,,,,,
43,Palma et al. (2000),55,Argentina,Chaco Province,Colonia Benitez,Estricta Natural Reservation,-27.5,-58,C,Subtropical forest,Gleditsia amorphoides,N-fixer Fabaceae ,Tree (evergreen),Recently fallen leaves,21.5,1300,51,,,4.31,2.63,0.45,0.21,1.73,0.76,1.29,2.92,0.13,0.2,,,,,,,,
44,Palma et al. (2000),55,Argentina,Chaco Province,Colonia Benitez,Estricta Natural Reservation,-27.5,-58,C,Subtropical forest,Patagonula americana,Boraginaceae,Tree (deciduous),Recently fallen leaves,21.5,1300,51,,,2.18,2.18,0.13,0.11,1.17,0.68,2.74,2.7,0.34,0.33,,,,,,,,
45,Palma et al. (2000),55,Argentina,Chaco Province,Colonia Benitez,Estricta Natural Reservation,-27.5,-58,C,Subtropical forest,Chlorophora tinctoria,Moraceae,Tree (deciduous),Recently fallen leaves,21.5,1300,51,,,2.48,2.37,0.26,0.21,1.13,0.7,3.61,4.41,0.41,0.41,,,,,,,,
46,Palma et al. (2000),55,Argentina,Chaco Province,Colonia Benitez,Estricta Natural Reservation,-27.5,-58,C,Subtropical forest,Astronium balansae,Anacardiaceae,Tree (deciduous),Recently fallen leaves,21.5,1300,51,,,2.58,1.86,0.33,0.22,0.89,0.62,1.98,2.04,0.3,0.31,,,,,,,,
465,Pandey et al. (2007),56,India,Maharabi hillock,,,24.9,93.9,C,Natural oak forest,Quercus serrata,Fagaceae,Tree (deciduous),Litterfall traps cleared monthly,22,1384,840,,,1.88,0.98,0.1,0.06,1.05,0.66,,,,,,,,,,,,
177,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Fitzroya cupressoides,Cupressaceae,Conifers,Litterfall traps cleared monthly,10,5500,620,55.51,62.37,0.87,0.55,,,,,,,,,,,,,,,,
178,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Tepualia stipularis,Myrtaceae,Tree (evergreen),Litterfall traps cleared monthly,10,5500,620,52.03,49.6,0.78,0.5,,,,,,,,,,,,,,,,
179,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Pilgerodendron uviferum,Cupressaceae,Conifers,Litterfall traps cleared monthly,10,5500,620,52.42,55.77,1.12,0.73,,,,,,,,,,,,,,,,
180,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Drimys winteri,Winteraceae,Tree (evergreen),Litterfall traps cleared monthly,10,5500,620,50.54,62.73,0.97,0.87,,,,,,,,,,,,,,,,
181,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Nothofagus nitida,Nothofagaceae,Tree (evergreen),Litterfall traps cleared monthly,10,5500,620,51.57,50.72,1.07,0.79,,,,,,,,,,,,,,,,
182,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Podocarpus nubigena,Podocarpaceae,Tree (evergreen),Litterfall traps cleared monthly,10,5500,620,49.49,55.18,1.13,1.14,,,,,,,,,,,,,,,,
183,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Amomyrtus luna,Myrtaceae,Tree (evergreen),Litterfall traps cleared monthly,10,5500,620,49.13,50.99,1.14,1.06,,,,,,,,,,,,,,,,
184,Perez et al. (2003),57,Chile,,,Chiloe National Park,-42.5,-74,C,Evergreen temperate greenforests,Laurelia philippiana,Monimiaceae,Tree (evergreen),Litterfall traps cleared monthly,10,5500,620,47.43,57.95,1.67,1.41,,,,,,,,,,,,,,,,
17,Peri & Lasagno (2010),58,Argentina,Patagonia,,small plant,-50,-70,B,Magellanic Patagonian steppe,Festuca pallescens,Poaceae,Graminoid,Picked from the plant,7,300,115,41.01,38.35,1.7,0.5,0.19,0.05,1.46,0.2,0.27,0.24,0.1,0.09,,,,,,,,
18,Peri & Lasagno (2010),58,Argentina,Patagonia,,big plant,-50,-70,B,Magellanic Patagonian steppe,Festuca pallescens,Poaceae,Graminoid,Picked from the plant,7,300,115,42.35,39.3,1.31,0.47,0.16,0.04,1.33,0.22,0.29,0.24,0.1,0.08,,,,,,,,
19,Peri & Lasagno (2010),58,Argentina,Patagonia,,small plant,-50,-70,B,Magellanic Patagonian steppe,Stipa chrysophylla,Poaceae,Graminoid,Picked from the plant,7,300,115,42.51,39.97,1.37,0.54,0.12,0.02,0.68,0.2,0.26,0.21,0.13,0.07,,,,,,,,
20,Peri & Lasagno (2010),58,Argentina,Patagonia,,big plant,-50,-70,B,Magellanic Patagonian steppe,Stipa chrysophylla,Poaceae,Graminoid,Picked from the plant,7,300,115,44.83,41.8,1.17,0.53,0.1,0.02,0.62,0.18,0.29,0.24,0.08,0.07,,,,,,,,
21,Peri & Lasagno (2010),58,Argentina,Patagonia,,small plant,-50,-70,B,Magellanic Patagonian steppe,Poa dusenni,Poaceae,Graminoid,Picked from the plant,7,300,115,42.27,39.52,1.74,0.48,0.19,0.05,1.1,0.18,0.23,0.2,0.09,0.08,,,,,,,,
22,Peri & Lasagno (2010),58,Argentina,Patagonia,,big plant,-50,-70,B,Magellanic Patagonian steppe,Poa dusenni,Poaceae,Graminoid,Picked from the plant,7,300,115,44.32,41.4,1.28,0.47,0.18,0.04,0.93,0.12,0.3,0.26,0.08,0.07,,,,,,,,
23,Peri & Lasagno (2010),58,Argentina,Patagonia,,small plant,-50,-70,B,Magellanic Patagonian steppe,Carex andina,Cyperaceae,Graminoid,Picked from the plant,7,300,115,43.45,40.6,1.92,0.49,0.15,0.05,1.06,0.16,0.22,0.17,0.1,0.08,,,,,,,,
24,Peri & Lasagno (2010),58,Argentina,Patagonia,,big plant,-50,-70,B,Magellanic Patagonian steppe,Carex andina,Cyperaceae,Graminoid,Picked from the plant,7,300,115,44.65,40.87,1.44,0.49,0.13,0.04,1.02,0.15,0.31,0.23,0.09,0.08,,,,,,,,
660,Pugnaire & Chapin (1993),59,USA,CA,Knoxville,,38.8,-122.3,C,Mediterranean evergreen species,Trees,,Trees,,16,825,375,,,1.53,0.71,0.19,0.09,,,,,,,,,,,,,17,
661,Pugnaire & Chapin (1993),59,USA,CA,Butts Canyon,,38.7,-122.4,C,Mediterranean evergreen species,Trees,,Trees,,16,825,200,,,1.14,0.35,0.11,0.05,,,,,,,,,,,,,5,
588,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Bartsia alpina,Orobanchaceae,Forb,Picked from the plant,-0.8,320,360,,,2.85,2,,,,,,,,,,,,,,,,
589,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Pedicularis lapponica,Scrophulariaceae,Forb,Picked from the plant,-0.8,320,360,,,4.18,1.81,,,,,,,,,,,,,,,,
590,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Pedicularis hirsuta,Scrophulariaceae,Forb,Picked from the plant,-0.8,320,360,,,2.77,2.51,,,,,,,,,,,,,,,,
591,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Pedicularis sceptrum-carolinum,Scrophulariaceae,Forb,Picked from the plant,-0.8,320,360,,,1.55,1.48,,,,,,,,,,,,,,,,
592,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Euphrasia frigida,Orobanchaceae,Forb,Picked from the plant,-0.8,320,360,,,4.89,4.1,,,,,,,,,,,,,,,,
593,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Vaccinium uliginosum,Ericaceae,Tree (deciduous),Picked from the plant,-0.8,320,360,,,1.72,0.48,,,,,,,,,,,,,,,,
594,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Vaccinium vitis-idaea,Ericaceae,Tree (evergreen),Picked from the plant,-0.8,320,360,,,0.91,0.83,,,,,,,,,,,,,,,,
595,Quested et al. (2002),60,Sweden,,,Abisko Scientific Research Station,68.4,18.8,D,,Betula nana,Betulaceae,Tree (deciduous),Picked from the plant,-0.8,320,360,,,2.53,0.74,,,,,,,,,,,,,,,,
