Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
212,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Alseodaphne petiolaris,Lauraceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.78,0.74,0.08,0.04,,,,,,,128.3,95.5,163.1,149.8,2092.6,1430.6,31.6,8.1
213,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Calophyllum polyanthum,Clusiaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.68,1.6,0.08,0.05,,,,,,,177.9,153.8,27.2,26.5,483.9,407.6,15.7,2.4
214,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Cryptocarya densiflora,Lauraceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,2.1,1.81,0.09,0.04,,,,,,,187.9,172.5,85.2,79.7,1600.9,1374.8,14.2,6.5
215,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Cyclobalanopsis sp.,Fagaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.71,1.33,0.07,0.04,,,,,,,129.4,118.8,25.9,23.7,335.1,281.6,16.3,8.8
216,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Diospyros kerrii,Ebenaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.84,0.78,0.08,0.04,,,,,,,190,178.6,86.1,85.3,1635.9,1523.5,6.9,0.9
217,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Elaeocarpus sylvestris,Elaeocarpaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,2.4,0.96,0.1,0.05,,,,,,,76.2,71,98.7,76.7,752.1,544.6,27.6,22.3
218,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Engelhardtia roxburghiana,Juglandaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,2.36,2.08,0.11,0.06,,,,,,,102.2,95.7,67.2,56.9,686.8,544.5,20.6,15.2
219,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Euodia trichotoma,Rutaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,3.06,2.45,0.17,0.09,,,,,,,86.1,76.8,56.2,47.5,483.9,364.8,24.7,15.5
220,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Hovenia acerba,Rhamnaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,3.72,1.62,0.19,0.07,,,,,,,51.7,44.5,68.8,65.5,355.7,291.5,18.1,4.8
221,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Michelia floribunda,Magnoliaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,2,0.83,0.15,0.04,,,,,,,79.1,67.8,38.1,34.6,301.4,234.6,22.1,9.1
222,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Schima superba,Theaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.86,1.33,0.09,0.05,,,,,,,122.1,104.9,70.3,64.5,858.4,676.6,21.3,8.4
223,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Toxicodendron succedaneum,Anarcadiaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.81,0.7,0.12,0.04,,,,,,,89.6,84.4,27.9,24.4,250,205.9,17.9,12.7
224,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Toxicodendron sp.,Anarcadiaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,2.41,1.91,0.18,0.1,,,,,,,136.5,128.2,58.8,56.9,802.6,729.5,9.1,3.2
